Columna 1,Columna 2,Columna 3,Columna 4,Columna 5,Columna 6,Columna 7,Columna 8,Columna 9,Columna 10,Columna 11,Columna 12,Columna 13,Columna 14,Columna 15,Columna 16,Columna 17,Columna 18,Columna 19,Columna 20,Columna 21,Columna 22,Columna 23,Columna 24,Columna 25,Columna 26,Columna 27,Columna 28,Columna 29,Columna 30,Columna 31,Columna 32,Columna 33,Columna 34,Columna 35,Columna 36,Columna 37,Columna 38,Columna 39,Columna 40,Columna 41,Columna 42,Columna 43,Columna 44,Columna 45,Columna 46,Columna 47,Columna 48,Columna 49,Columna 50,Columna 51,Columna 52,Columna 53,Columna 54,Columna 55,Columna 56,Columna 57,Columna 58,Columna 59,Columna 60,Columna 61,Columna 62,Columna 63,Columna 64,Columna 65,Columna 66,Columna 67,Columna 68,Columna 69,Columna 70,Columna 71,Columna 72,Columna 73,Columna 74,Columna 75,Columna 76,Columna 77,Columna 78,Columna 79,Columna 80,Columna 81,Columna 82,Columna 83,Columna 84,Columna 85,Columna 86,Columna 87,Columna 88,Columna 89,Columna 90,Columna 91,Columna 92,Columna 93,Columna 94,Columna 95,Columna 96,Columna 97,Columna 98
42,279,24,19,20,27,27,26,22,35,29,25,26,26,23,933,17,19,34,21,21,21,21,17,17,17,23,23,21,24,23,17,417,1470,0,0,17,21,9,25,20,9,23,1571,24,24,21,12,22,22,25,21,21,23,17,14,-1,17,26,17,32,17,29,31,31,25,1637,17,17,17,17,17,31,30,23,23,85,31,32,30,32,29,30,23,17,17,28,28,25,25,17,17,29,29,29,22,22,22
42,279,24,19,20,27,27,26,22,35,29,25,26,26,23,933,17,19,34,21,21,21,21,17,17,17,23,23,21,24,23,17,417,1470,0,0,17,21,9,25,20,9,23,1571,24,24,21,12,22,22,25,21,21,23,17,14,-1,17,26,17,32,17,29,31,31,25,1637,17,17,17,17,17,31,30,23,23,85,31,32,30,32,29,30,23,17,17,28,28,25,25,17,17,29,29,29,22,22,22
28,273,14,18,22,10,10,17,14,36,11,12,9,9,24,927,0,18,17,9,9,9,9,0,0,0,14,17,9,12,11,0,411,1465,19,19,0,13,16,10,14,16,13,1565,9,9,14,19,8,8,17,14,14,15,0,22,-1,0,10,0,18,0,22,14,14,18,1631,0,0,0,0,0,14,13,8,8,79,14,19,13,15,19,22,15,0,0,19,19,13,13,0,0,19,19,19,13,13,13
37,284,9,9,14,12,12,15,8,27,13,7,15,15,16,938,17,18,28,20,20,20,20,17,17,17,18,29,20,23,22,17,423,1476,21,21,17,0,13,12,2,13,10,1577,10,10,8,11,12,12,5,8,8,12,17,14,-1,17,16,17,29,17,35,25,25,31,1643,17,17,17,17,17,25,25,21,21,91,25,30,25,26,31,34,18,17,17,30,30,19,19,17,17,31,31,31,24,24,24
37,285,17,11,12,22,22,19,15,28,22,18,24,24,15,939,22,14,36,26,26,26,26,22,22,22,18,24,26,29,28,22,423,1476,10,10,22,14,0,17,13,0,15,1577,17,17,13,5,18,18,18,14,14,18,22,6,-1,22,25,22,36,22,35,33,33,31,1643,22,22,22,22,22,33,32,27,27,91,33,37,33,34,28,30,17,22,22,27,27,19,19,22,22,28,28,28,23,23,23
36,276,15,16,19,14,14,19,15,32,12,13,14,14,23,930,9,14,26,12,12,12,12,9,9,9,11,21,12,14,13,9,415,1468,25,25,9,12,17,0,10,17,4,1569,10,10,10,15,4,4,16,10,10,7,9,18,-1,9,15,9,27,9,27,23,23,23,1635,9,9,9,9,9,23,22,15,15,83,23,27,22,24,22,26,12,9,9,22,22,11,11,9,9,22,22,22,16,16,16
38,285,10,10,15,13,13,16,9,28,14,8,16,16,17,938,17,18,29,21,21,21,21,17,17,17,18,29,21,23,22,17,423,1476,21,21,17,3,13,12,0,13,10,1577,11,11,8,11,12,12,6,8,8,12,17,14,-1,17,17,17,30,17,35,26,26,31,1643,17,17,17,17,17,26,26,22,22,91,26,30,26,27,31,34,18,17,17,30,30,19,19,17,17,31,31,31,24,24,24
37,285,17,11,12,22,22,19,15,28,22,18,24,24,15,939,22,14,36,26,26,26,26,22,22,22,18,24,26,29,28,22,423,1476,10,10,22,14,0,17,13,0,15,1577,17,17,13,5,18,18,18,14,14,18,22,6,-1,22,25,22,36,22,35,33,33,31,1643,22,22,22,22,22,33,32,27,27,91,33,37,33,34,28,30,17,22,22,27,27,19,19,22,22,28,28,28,23,23,23
40,281,16,16,16,17,17,21,15,29,14,15,16,17,19,935,14,11,28,16,16,16,16,14,14,14,9,25,16,19,18,14,419,1473,25,25,14,12,18,5,11,18,0,1573,10,10,10,15,9,9,16,10,10,4,14,15,-1,14,18,14,29,14,31,25,25,28,1639,14,14,14,14,14,25,25,20,20,87,26,30,25,27,27,30,9,14,14,27,27,10,10,14,14,27,27,27,21,21,21
1588,1329,1603,1597,1602,1575,1575,1602,1601,1608,1576,1577,1574,1574,1604,641,1565,1579,1574,1569,1569,1569,1569,1565,1565,1565,1575,1578,1569,1572,1571,1565,1187,235,1576,1576,1565,1580,1573,1572,1578,1573,1575,0,1574,1574,1578,1600,1570,1570,1584,1578,1578,1577,1565,1598,-1,1565,1575,1565,1568,1565,1564,1572,1572,1561,224,1565,1565,1565,1565,1565,1572,1578,1571,1571,1535,1574,1567,1575,1573,1580,1583,1577,1565,1565,1579,1579,1575,1575,1565,1565,1580,1580,1580,1573,1573,1573
34,279,9,13,17,10,10,13,10,31,8,7,10,10,20,933,11,19,23,15,15,15,15,11,11,11,17,23,15,18,17,11,417,1471,24,24,11,8,16,9,9,16,9,1571,0,0,9,14,9,9,12,9,9,11,11,17,-1,11,11,11,24,11,29,20,20,26,1637,11,11,11,11,11,20,20,15,15,85,20,25,20,21,25,28,17,11,11,25,25,17,17,11,11,25,25,25,19,19,19
34,279,9,13,17,10,10,13,10,31,8,7,10,10,20,933,11,19,23,15,15,15,15,11,11,11,17,23,15,18,17,11,417,1471,24,24,11,8,16,9,9,16,9,1571,0,0,9,14,9,9,12,9,9,11,11,17,-1,11,11,11,24,11,29,20,20,26,1637,11,11,11,11,11,20,20,15,15,85,20,25,20,21,25,28,17,11,11,25,25,17,17,11,11,25,25,25,19,19,19
39,282,14,15,18,16,16,19,13,30,13,13,15,16,21,935,14,17,27,18,18,18,18,14,14,14,15,26,18,20,19,14,420,1473,23,23,14,10,16,9,9,16,7,1574,10,10,0,13,9,9,14,1,1,9,14,16,-1,14,17,14,28,14,32,24,24,28,1640,14,14,14,14,14,24,24,18,18,88,25,29,24,26,28,31,15,14,14,27,27,16,16,14,14,28,28,28,21,21,21
38,283,17,13,14,20,20,21,16,28,19,15,21,22,17,937,20,12,33,24,24,24,24,20,20,20,15,24,24,26,25,20,424,1475,14,14,20,12,6,15,10,6,13,1576,14,14,11,0,16,16,16,12,12,15,20,8,-1,20,23,20,34,20,34,30,30,30,1641,20,20,20,20,20,30,30,25,25,92,31,35,30,32,26,29,15,20,20,25,25,17,16,20,20,26,26,26,21,21,21
35,276,14,17,20,14,14,19,16,33,12,12,14,14,24,929,8,17,24,11,11,11,11,8,8,8,11,20,11,14,13,8,414,1467,26,26,8,12,18,4,11,18,7,1568,9,9,11,16,0,0,16,11,11,10,8,19,-1,8,15,8,25,8,26,21,21,22,1634,8,8,8,8,8,21,20,13,13,82,22,26,20,22,22,25,12,8,8,21,21,10,10,8,8,22,22,22,15,15,15
35,276,14,17,20,14,14,19,16,33,12,12,14,14,24,929,8,17,24,11,11,11,11,8,8,8,11,20,11,14,13,8,414,1467,26,26,8,12,18,4,11,18,7,1568,9,9,11,16,0,0,16,11,11,10,8,19,-1,8,15,8,25,8,26,21,21,22,1634,8,8,8,8,8,21,20,13,13,82,22,26,20,22,22,25,12,8,8,21,21,10,10,8,8,22,22,22,15,15,15
41,288,13,13,18,16,16,19,12,31,17,11,19,19,20,942,21,22,32,24,24,24,24,21,21,21,22,33,24,27,26,21,427,1480,25,25,21,4,17,16,6,17,14,1581,14,14,12,15,16,16,0,12,12,16,21,18,-1,21,20,21,33,21,39,29,29,35,1647,21,21,21,21,21,29,29,25,25,95,29,34,29,30,34,38,21,21,21,34,34,23,23,21,21,34,34,34,28,28,28
39,282,15,15,18,16,16,20,13,30,13,13,15,16,21,936,14,17,27,18,18,18,18,14,14,14,15,26,18,20,20,14,420,1473,23,23,14,10,16,9,9,16,7,1574,10,10,1,13,10,10,14,0,0,10,14,16,-1,14,17,14,28,14,32,24,24,28,1640,14,14,14,14,14,24,24,19,19,88,25,29,24,26,28,31,15,14,14,27,27,16,16,14,14,28,28,28,21,21,21
39,282,15,15,18,16,16,20,13,30,13,13,15,16,21,936,14,17,27,18,18,18,18,14,14,14,15,26,18,20,20,14,420,1473,23,23,14,10,16,9,9,16,7,1574,10,10,1,13,10,10,14,0,0,10,14,16,-1,14,17,14,28,14,32,24,24,28,1640,14,14,14,14,14,24,24,19,19,88,25,29,24,26,28,31,15,14,14,27,27,16,16,14,14,28,28,28,21,21,21
